Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,4.8934,4.8989,4.845,4.8769,4.8769,1038558
2021-01-05,4.8916,4.9166,4.8657,4.9103,4.9103,401462
2021-01-06,4.908,4.931,4.88,4.931,4.931,2477036
2021-01-07,4.9227,4.9431,4.9122,4.9283,4.9283,4692228
2021-01-08,5.0305,5.0689,5.0175,5.0689,5.0689,887190
2021-01-11,5.0729,5.0926,5.061,5.0763,5.0763,367974
2021-01-12,5.0921,5.116,5.0886,5.1141,5.1141,1608984
2021-01-13,5.1122,5.122,5.0946,5.1086,5.1086,1570930
2021-01-14,5.1535,5.205,5.1522,5.2043,5.2043,3941494
2021-01-15,5.16,5.1668,5.12,5.1426,5.1426,668069
2021-01-18,5.1484,5.1678,5.1395,5.1633,5.1633,1999281
2021-01-19,5.2273,5.2347,5.1921,5.1951,5.1951,552538
2021-01-20,5.2734,5.3031,5.2725,5.2829,5.2829,2306474
2021-01-21,5.3252,5.3252,5.2705,5.2895,5.2895,2191017
2021-01-22,5.2329,5.2329,5.1902,5.2169,5.2169,1371958
2021-01-25,5.3116,5.3245,5.2464,5.2658,5.2658,2679268
2021-01-26,5.2144,5.242,5.2127,5.2238,5.2238,3066797
2021-01-27,5.1875,5.195,5.1328,5.1497,5.1497,2901087
2021-01-28,5.0704,5.1336,5.0269,5.1311,5.1311,3583287
2021-01-29,5.0411,5.0566,5.0198,5.0314,5.0314,1141633
2021-02-01,5.1205,5.1587,5.119,5.1452,5.1452,1724277
2021-02-02,5.2504,5.283,5.2455,5.2717,5.2717,2931397
2021-02-03,5.3153,5.32,5.288,5.3036,5.3036,2998854
2021-02-04,5.2893,5.3169,5.2825,5.2971,5.2971,4380909
2021-02-05,5.3221,5.3413,5.3074,5.333,5.333,981114
2021-02-08,5.3245,5.35,5.315,5.3378,5.3378,14034031
2021-02-09,5.3337,5.3631,5.3185,5.3611,5.3611,166886
2021-02-10,5.3988,5.4191,5.3528,5.3828,5.3828,2563728
2021-02-11,5.4188,5.4592,5.4169,5.4592,5.4592,5136995
2021-02-12,5.4288,5.4569,5.417,5.4565,5.4565,632548
2021-02-15,5.4823,5.507,5.4767,5.5031,5.5031,5171745
2021-02-16,5.4935,5.5,5.4704,5.4704,5.4704,1097874
2021-02-17,5.5057,5.5152,5.4724,5.4762,5.4762,1137158
2021-02-18,5.4272,5.4363,5.3541,5.375,5.375,2280307
2021-02-19,5.3999,5.4392,5.3875,5.4357,5.4357,2842933
2021-02-22,5.2937,5.2965,5.2589,5.2771,5.2771,2631690
2021-02-23,5.2691,5.2691,5.155,5.2334,5.2334,1863849
2021-02-24,5.192,5.2331,5.1676,5.2154,5.2154,1077654
2021-02-25,5.2541,5.2541,5.1794,5.1794,5.1794,5815003
2021-02-26,5.0537,5.0928,5.03,5.0836,5.0836,808564
2021-03-01,5.1692,5.2307,5.16,5.2287,5.2287,831864
2021-03-02,5.1754,5.2001,5.1522,5.1522,5.1522,3009987
2021-03-03,5.2489,5.2596,5.1775,5.1908,5.1908,3806587
2021-03-04,5.1494,5.1684,5.1066,5.1465,5.1465,341031
2021-03-05,5.1307,5.1647,5.0653,5.0717,5.0717,10788580
2021-03-08,5.0547,5.0894,5.0325,5.0623,5.0623,1621838
2021-03-09,5.0228,5.1295,5.0228,5.1228,5.1228,696434
2021-03-10,5.1031,5.1481,5.09,5.0955,5.0955,1374213
2021-03-11,5.1952,5.2281,5.1944,5.2241,5.2241,1777474
2021-03-12,5.1561,5.1574,5.1271,5.1373,5.1373,5459747
2021-03-15,5.1322,5.1677,5.125,5.1459,5.1459,2196376
2021-03-16,5.1771,5.2179,5.165,5.1996,5.1996,1108903
2021-03-17,5.1673,5.168,5.1174,5.1332,5.1332,1512853
2021-03-18,5.1721,5.176,5.14,5.1503,5.1503,1970924
2021-03-19,5.1138,5.1522,5.1096,5.1522,5.1522,794536
2021-03-22,5.1284,5.1374,5.1146,5.1371,5.1371,224076
2021-03-23,5.0867,5.1097,5.0705,5.1028,5.1028,557799
2021-03-24,5.0373,5.0623,5.0163,5.0174,5.0174,337259
2021-03-25,4.9938,5.0164,4.9546,5.0164,5.0164,336699
2021-03-26,5.0754,5.0866,5.0387,5.0496,5.0496,466161
2021-03-29,5.0683,5.104,5.0663,5.0856,5.0856,2245851
2021-03-30,5.1176,5.1431,5.1084,5.1431,5.1431,1319984
2021-03-31,5.1218,5.1629,5.1093,5.1551,5.1551,868548
2021-04-01,5.207,5.2427,5.2011,5.2137,5.2137,2900123
2021-04-06,5.1914,5.2253,5.18,5.2177,5.2177,319533
2021-04-07,5.1632,5.1657,5.11,5.1208,5.1208,131073
2021-04-08,5.1779,5.1822,5.1565,5.1608,5.1608,586361
2021-04-09,5.1195,5.1242,5.1025,5.1054,5.1054,287762
2021-04-12,5.0755,5.0823,5.0614,5.07,5.07,325238
2021-04-13,5.0712,5.0968,5.0565,5.0968,5.0968,425753
2021-04-14,5.111,5.134,5.11,5.1172,5.1172,262336
2021-04-15,5.1014,5.1459,5.1014,5.1298,5.1298,1939070
2021-04-16,5.1475,5.158,5.1236,5.1481,5.1481,550050
2021-04-19,5.1532,5.1532,5.104,5.1041,5.1041,303464
2021-04-20,5.1172,5.12,5.0575,5.0575,5.0575,348452
2021-04-21,5.0577,5.0776,5.05,5.0752,5.0752,1408446
2021-04-22,5.0903,5.1202,5.0749,5.1127,5.1127,521742
2021-04-23,5.1272,5.1379,5.119,5.1342,5.1342,342847
2021-04-26,5.1308,5.1394,5.103,5.1326,5.1326,235425
2021-04-27,5.156,5.1574,5.1334,5.1477,5.1477,263315
2021-04-28,5.1558,5.1759,5.1421,5.1574,5.1574,201874
2021-04-29,5.1824,5.188,5.1197,5.1271,5.1271,232773
2021-04-30,5.1064,5.1103,5.0817,5.1025,5.1025,135791
